distance,id,runner_key,total_elevation_gain,sport_type,start_date_local,kudos_count,average_speed,created_at,name,moving_time,elapsed_time,type,start_date,timezone,athlete_count
19595.5,12857104871,5,1141.0,TrailRun,2024-11-09T06:43:16Z,10,1.961,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,9991,10303,Run,2024-11-09T05:43:16Z,(GMT+01:00) Europe/Rome,3
10155.8,12851272697,5,155.0,Run,2024-11-08T11:54:44Z,7,3.063,2025-02-04 14:55:14.618904+00:00,Lunch Run,3316,3344,Run,2024-11-08T10:54:44Z,(GMT+01:00) Europe/Rome,1
3527.1,12845856161,5,54.0,Run,2024-11-07T16:50:17Z,5,1.556,2025-02-04 14:55:14.618904+00:00,Afternoon Run,2267,2372,Run,2024-11-07T15:50:17Z,(GMT+01:00) Europe/Rome,1
4000.0,12844661042,5,500.0,Hike,2024-11-07T12:00:00Z,2,0.556,2025-02-04 14:55:14.618904+00:00,Una Macacata coi Bro non si rifiuta mai,7200,7200,Hike,2024-11-07T11:00:00Z,(GMT+01:00) Europe/Rome,1
10480.3,12834247704,5,224.0,Run,2024-11-06T06:13:29Z,10,3.01,2025-02-04 14:55:14.618904+00:00,Morning Run,3482,3516,Run,2024-11-06T05:13:29Z,(GMT+01:00) Europe/Rome,4
7029.3,12827971521,5,442.0,TrailRun,2024-11-05T12:12:11Z,6,1.88,2025-02-04 14:55:14.618904+00:00,Lunch Trail Run,3739,3854,Run,2024-11-05T11:12:11Z,(GMT+01:00) Europe/Rome,1
6186.1,12822004843,5,21.0,Run,2024-11-04T17:17:37Z,8,2.53,2025-02-04 14:55:14.618904+00:00,Back to run,2445,2486,Run,2024-11-04T16:17:37Z,(GMT+01:00) Europe/Rome,1
34822.4,12807675346,5,1827.0,TrailRun,2024-11-02T08:30:37Z,11,2.395,2025-02-04 14:55:14.618904+00:00,Trail del Cinghiale 🐗,14405,14542,Run,2024-11-02T07:30:37Z,(GMT+01:00) Europe/Rome,1
5103.1,12787183334,5,154.0,Run,2024-10-31T08:03:51Z,7,2.269,2025-02-04 14:55:14.618904+00:00,Morning Run,2249,2263,Run,2024-10-31T07:03:51Z,(GMT+01:00) Europe/Rome,1
7635.0,12782940122,5,44.0,Run,2024-10-30T17:14:44Z,5,2.912,2025-02-04 14:55:14.618904+00:00,Afternoon Run,2622,2673,Run,2024-10-30T16:14:44Z,(GMT+01:00) Europe/Rome,1
9214.3,12763055050,5,462.0,TrailRun,2024-10-28T07:33:59Z,4,1.998,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,4611,4690,Run,2024-10-28T06:33:59Z,(GMT+01:00) Europe/Rome,2
7971.7,12755535884,5,42.0,Run,2024-10-27T10:12:37Z,5,3.017,2025-02-04 14:55:14.618904+00:00,Morning Run,2642,2660,Run,2024-10-27T09:12:37Z,(GMT+01:00) Europe/Rome,1
26999.5,12746552501,5,1035.0,TrailRun,2024-10-26T06:23:13Z,6,2.343,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,11523,12147,Run,2024-10-26T04:23:13Z,(GMT+01:00) Europe/Rome,3
5450.1,12740334360,5,14.0,Run,2024-10-25T12:23:55Z,5,2.044,2025-02-04 14:55:14.618904+00:00,Lunch Run,2667,2902,Run,2024-10-25T10:23:55Z,(GMT+01:00) Europe/Rome,2
13133.5,12731550404,5,777.0,TrailRun,2024-10-24T07:57:23Z,10,1.927,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,6817,7003,Run,2024-10-24T05:57:23Z,(GMT+01:00) Europe/Rome,2
14018.7,12724660656,5,698.0,TrailRun,2024-10-23T11:59:17Z,8,2.579,2025-02-04 14:55:14.618904+00:00,Lunch Trail Run,5436,5525,Run,2024-10-23T09:59:17Z,(GMT+01:00) Europe/Rome,1
10179.0,12718491496,5,211.0,Run,2024-10-22T17:45:15Z,5,2.78,2025-02-04 14:55:14.618904+00:00,Afternoon Run,3662,3703,Run,2024-10-22T15:45:15Z,(GMT+01:00) Europe/Rome,1
1750.0,12708223618,5,0.0,Swim,2024-10-21T13:33:17Z,2,0.698,2025-02-04 14:55:14.618904+00:00,Afternoon Swim,2508,3135,Swim,2024-10-21T11:33:17Z,(GMT+02:00) Africa/Blantyre,1
25094.7,12699024258,5,1702.0,TrailRun,2024-10-20T07:40:58Z,9,1.844,2025-02-04 14:55:14.618904+00:00,Preparazione Trail del cinghiale 🐗🐗,13606,14257,Run,2024-10-20T05:40:58Z,(GMT+01:00) Europe/Rome,1
9281.4,12694779952,5,45.0,Run,2024-10-19T18:13:27Z,7,2.948,2025-02-04 14:55:14.618904+00:00,Test Asics Fuji Trail waterproof,3148,3177,Run,2024-10-19T16:13:27Z,(GMT+01:00) Europe/Rome,1
13088.2,12675427107,5,921.0,TrailRun,2024-10-17T08:00:33Z,6,1.771,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,7389,7503,Run,2024-10-17T06:00:33Z,(GMT+01:00) Europe/Rome,3
12801.7,12667006475,5,227.0,Run,2024-10-16T07:39:02Z,8,3.243,2025-02-04 14:55:14.618904+00:00,Morning Run,3948,3995,Run,2024-10-16T05:39:02Z,(GMT+01:00) Europe/Rome,1
9211.9,12660543277,5,466.0,TrailRun,2024-10-15T12:43:31Z,10,2.007,2025-02-04 14:55:14.618904+00:00,Lunch Trail Run,4591,4901,Run,2024-10-15T10:43:31Z,(GMT+01:00) Europe/Rome,1
5007.4,12654888537,5,30.0,Run,2024-10-14T18:57:33Z,6,2.711,2025-02-04 14:55:14.618904+00:00,Evening Run,1847,1926,Run,2024-10-14T16:57:33Z,(GMT+01:00) Europe/Rome,1
24194.4,12634560536,5,1214.0,TrailRun,2024-10-12T06:49:48Z,9,2.009,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,12045,12400,Run,2024-10-12T04:49:48Z,(GMT+01:00) Europe/Rome,4
18736.3,12630738782,5,704.0,TrailRun,2024-10-11T16:54:30Z,8,2.414,2025-02-04 14:55:14.618904+00:00,Subasio al tramonto,7761,8000,Run,2024-10-11T14:54:30Z,(GMT+01:00) Europe/Rome,1
1450.0,12613474234,5,0.0,Swim,2024-10-09T13:35:38Z,5,0.692,2025-02-04 14:55:14.618904+00:00,Afternoon Swim,2096,2664,Swim,2024-10-09T11:35:38Z,(GMT+02:00) Africa/Blantyre,1
10695.8,12606887660,5,604.0,TrailRun,2024-10-08T17:12:31Z,7,2.213,2025-02-04 14:55:14.618904+00:00,Afternoon Trail Run,4833,4963,Run,2024-10-08T15:12:31Z,(GMT+01:00) Europe/Rome,1
9501.3,12599266596,5,148.0,Run,2024-10-07T18:20:06Z,6,2.651,2025-02-04 14:55:14.618904+00:00,Evening Run,3584,3587,Run,2024-10-07T16:20:06Z,(GMT+01:00) Europe/Rome,1
20379.4,12588213676,5,794.0,TrailRun,2024-10-06T07:36:30Z,4,2.486,2025-02-04 14:55:14.618904+00:00,Sessione di trail running mattutina,8197,8520,Run,2024-10-06T05:36:30Z,(GMT+01:00) Europe/Rome,3
